Date,Campaign Name,Campaign ID,Placement ID,Account ID,Account Name,Country,Clicks,Impressions,Spend
2026-05-01,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,792,231042,636.85
2026-05-02,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,996,198078,882.5
2026-05-03,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,896,251060,747.33
2026-05-04,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,706,182759,600.87
2026-05-05,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,697,182501,613.76
2026-05-06,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,865,223559,751.0
2026-05-07,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,828,244506,755.46
2026-05-08,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,975,235692,760.22
2026-05-09,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1058,256211,811.4
2026-05-10,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,993,188059,865.06
2026-05-11,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1225,244324,1050.3
2026-05-12,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1088,257470,936.35
2026-05-13,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1173,246088,1083.6
2026-05-14,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1121,226126,848.99
2026-05-15,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,798,198449,609.89
2026-05-16,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,716,198837,576.17
2026-05-17,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,968,230746,797.16
2026-05-18,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,783,196992,735.3
2026-05-19,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1099,231724,860.42
2026-05-20,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,891,238146,735.44
2026-05-21,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1245,258770,1072.71
2026-05-22,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1236,234621,1120.19
