Date,Campaign Name,Campaign ID,Ad Location,Account ID,Account Name,Country,Clicks,Impressions,Spend
2026-05-01,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,997,164314,457.88
2026-05-02,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1608,206642,656.99
2026-05-03,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1442,222402,605.28
2026-05-04,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1437,219022,647.16
2026-05-05,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1054,205532,453.56
2026-05-06,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1409,212048,566.39
2026-05-07,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1132,161276,453.36
2026-05-08,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1233,197019,541.45
2026-05-09,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,901,179845,412.03
2026-05-10,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1460,179915,580.02
2026-05-11,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1772,222833,668.33
2026-05-12,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1207,199405,543.57
2026-05-13,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1612,202271,619.0
2026-05-14,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1463,197357,545.86
2026-05-15,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1187,160398,482.55
2026-05-16,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1222,181987,526.19
2026-05-17,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1609,202247,655.02
2026-05-18,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1401,207994,592.58
2026-05-19,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1278,183025,504.5
2026-05-20,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1188,163559,498.85
2026-05-21,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1221,182269,483.5
2026-05-22,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1098,173603,516.1
2026-05-23,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1376,175333,576.7
2026-05-24,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1255,164188,521.03
2026-05-25,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1373,217269,519.61
2026-05-26,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1543,202443,620.0
2026-05-27,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,913,179563,387.34
2026-05-28,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1656,216767,730.88
2026-05-29,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1523,219228,684.75
2026-05-30,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1004,190598,391.42
2026-05-31,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1230,165299,457.87
2026-06-01,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1176,193695,529.92
2026-06-02,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1328,193532,502.37
